Volatility 3 Framework 2.26.0

PID	PPID	ImageFileName	Offset(V)	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime	Audit	Cmd	Path

620	592	csrss.exe	0xdf07c4287080	13	-	0	False	2025-09-28 04:40:32.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\csrss.exe	-	-
696	592	wininit.exe	0xdf07c4363080	6	-	0	False	2025-09-28 04:40:32.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\wininit.exe	-	-
* 832	696	services.exe	0xdf07c43ee080	11	-	0	False	2025-09-28 04:40:32.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\services.exe	-	-
** 2432	832	svchost.exe	0xdf07c4e460c0	18	-	0	False	2025-09-28 04:40:34.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	-	-
** 2304	832	svchost.exe	0xdf07c50d1080	7	-	0	False	2025-09-28 04:40:35.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	-	-
** 3200	832	vmtoolsd.exe	0xdf07c4dca0c0	15	-	0	False	2025-09-28 04:40:36.000000 UTC	N/A	\Device\HarddiskVolume3\Program Files\VMware\VMware Tools\vmtoolsd.exe	"C:\Program Files\VMware\VMware Tools\vmtoolsd.exe"	C:\Program Files\VMware\VMware Tools\vmtoolsd.exe
** 3076	832	svchost.exe	0xdf07c4dd1080	16	-	0	False	2025-09-28 04:40:36.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\WINDOWS\System32\svchost.exe -k utcsvc -p	C:\WINDOWS\System32\svchost.exe
*** 4288	3076	AggregatorHost	0xdf07c5673080	4	-	0	False	2025-09-28 04:40:38.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\AggregatorHost.exe	-	-
** 4484	832	NisSrv.exe	0xdf07c6d090c0	9	-	0	False	2025-09-28 04:40:56.000000 UTC	N/A	\Device\HarddiskVolume3\Program Files\Windows Defender\NisSrv.exe	-	-
** 1528	832	svchost.exe	0xdf07c47ee200	71	-	0	False	2025-09-28 04:40:33.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	-	-
*** 5760	1528	taskhostw.exe	0xdf07c5aa1080	6	-	1	False	2025-09-28 04:41:39.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\taskhostw.exe	-	-
*** 2152	1528	sihost.exe	0xdf07c4d7a240	17	-	1	False	2025-09-28 04:40:34.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\sihost.exe	sihost.exe	C:\WINDOWS\system32\sihost.exe
**** 4640	2152	ShellHost.exe	0xdf07c4e73080	10	-	1	False	2025-09-28 04:40:40.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\ShellHost.exe	-	-
**** 4804	2152	CrossDeviceRes	0xdf07c4637080	9	-	1	False	2025-09-28 04:40:40.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\CrossDeviceResume.exe	-	-
*** 2616	1528	taskhostw.exe	0xdf07c4ec5080	8	-	1	False	2025-09-28 04:40:35.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\taskhostw.exe	-	-
*** 2676	1528	MicrosoftEdgeU	0xdf07c4ee00c0	6	-	0	True	2025-09-28 04:40:35.000000 UTC	N/A	\Device\HarddiskVolume3\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe	-	-
*** 1816	1528	taskhostw.exe	0xdf07c073a080	7	-	0	False	2025-09-28 04:40:34.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\taskhostw.exe	-	-
** 1800	832	svchost.exe	0xdf07c07a9080	6	-	0	False	2025-09-28 04:40:34.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	-	-
** 3212	832	vm3dservice.ex	0xdf07c4fbf080	5	-	0	False	2025-09-28 04:40:36.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\vm3dservice.exe	-	-
*** 3516	3212	vm3dservice.ex	0xdf07c5387080	6	-	1	False	2025-09-28 04:40:36.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\vm3dservice.exe	-	-
** 3728	832	dllhost.exe	0xdf07c535b080	21	-	0	False	2025-09-28 04:40:37.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\dllhost.exe	-	-
** 7184	832	svchost.exe	0xdf07c68b9080	11	-	0	False	2025-09-28 04:40:58.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	-	-
** 2964	832	svchost.exe	0xdf07c3f91080	12	-	0	False	2025-09-28 04:40:35.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	-	-
** 5652	832	svchost.exe	0xdf07c5a0b080	9	-	1	False	2025-09-28 04:40:44.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	-	-
** 2456	832	svchost.exe	0xdf07c55d4080	33	-	0	False	2025-09-28 04:40:38.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	-	-
** 7832	832	WmiApSrv.exe	0xdf07c6c76080	7	-	0	False	2025-09-28 04:41:04.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\wbem\WmiApSrv.exe	-	-
** 1948	832	svchost.exe	0xdf07c06ac080	12	-	0	False	2025-09-28 04:40:34.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	-	-
** 1052	832	svchost.exe	0xdf07c4cab080	22	-	0	False	2025-09-28 04:40:34.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	-	-
** 3228	832	MsMpEng.exe	0xdf07c51ee080	36	-	0	False	2025-09-28 04:40:36.000000 UTC	N/A	\Device\HarddiskVolume3\Program Files\Windows Defender\MsMpEng.exe	"C:\Program Files\Windows Defender\MsMpEng.exe"	C:\Program Files\Windows Defender\MsMpEng.exe
** 1184	832	svchost.exe	0xdf07c498f200	7	-	0	False	2025-09-28 04:40:33.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	-	-
** 1312	832	svchost.exe	0xdf07c49ee080	14	-	0	False	2025-09-28 04:40:33.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	-	-
** 1696	832	svchost.exe	0xdf07c4a4e080	38	-	0	False	2025-09-28 04:40:33.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	-	-
** 6816	832	SearchIndexer.	0xdf07c5850080	15	-	0	False	2025-09-28 04:41:26.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\SearchIndexer.exe	-	-
*** 3024	6816	SearchFilterHo	0xdf07c4e15080	6	-	0	False	2025-09-28 04:41:36.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\SearchFilterHost.exe	-	-
*** 3956	6816	SearchProtocol	0xdf07c4e39080	9	-	0	False	2025-09-28 04:41:35.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\SearchProtocolHost.exe	-	-
** 2596	832	svchost.exe	0xdf07c4ec3240	17	-	0	False	2025-09-28 04:40:35.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\WINDOWS\system32\svchost.exe -k appmodel -p	C:\WINDOWS\system32\svchost.exe
** 1192	832	svchost.exe	0xdf07c498e080	12	-	0	False	2025-09-28 04:40:33.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\WINDOWS\system32\svchost.exe -k NetworkService -p	C:\WINDOWS\system32\svchost.exe
** 2088	832	svchost.exe	0xdf07c4be6080	12	-	0	False	2025-09-28 04:40:34.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	-	-
*** 2640	2088	audiodg.exe	0xdf07c4eb8080	8	-	0	False	2025-09-28 04:40:35.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\audiodg.exe	-	-
** 4520	832	svchost.exe	0xdf07c58460c0	14	-	0	False	2025-09-28 04:40:39.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	-	-
** 1324	832	svchost.exe	0xdf07c49f5080	27	-	0	False	2025-09-28 04:40:33.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe		
** 1584	832	svchost.exe	0xdf07c4a11240	7	-	0	False	2025-09-28 04:40:33.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	-	-
** 3376	832	svchost.exe	0xdf07c5286080	5	-	0	False	2025-09-28 04:40:36.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	-	-
** 1204	832	svchost.exe	0xdf07c48860c0	18	-	0	False	2025-09-28 04:40:33.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	-	-
** 2228	832	svchost.exe	0xdf07c3fa9080	16	-	1	False	2025-09-28 04:40:34.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	-	-
** 1212	832	svchost.exe	0xdf07c46490c0	20	-	0	False	2025-09-28 04:40:33.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	-	-
** 2748	832	svchost.exe	0xdf07c4fb0080	24	-	0	False	2025-09-28 04:40:35.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	-	-
** 2876	832	spoolsv.exe	0xdf07c4ff50c0	12	-	0	False	2025-09-28 04:40:35.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\spoolsv.exe	-	-
** 5052	832	VSSVC.exe	0xdf07c5ea80c0	5	-	0	False	2025-09-28 04:40:41.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\VSSVC.exe	-	-
** 1984	832	svchost.exe	0xdf07c4bf0240	8	-	0	False	2025-09-28 04:40:34.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	-	-
** 2376	832	svchost.exe	0xdf07c4fa7080	8	-	0	False	2025-09-28 04:40:38.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	-	-
